"Gene","AIS_vs_Normal","MIA_vs_Normal","LUAD_vs_Normal","MIA_vs_AIS","LUAD_vs_AIS","LUAD_vs_MIA","Pattern"
"KIF26B",1.31173436347989,1.89623353825852,3.24668877803975,0.584499174778632,1.93495441455986,1.35045523978123,"p2"
"TSACC",1.25691701017006,0.908065360436563,2.41826618660205,-0.348851649733501,1.16134917643199,1.51020082616549,"p2"
"IL22RA2",5.00166132099088,4.25962473727724,5.56249555081915,-0.742036583713638,0.560834229828272,1.30287081354191,"p2"
"HNF4G",2.17801431982446,2.42424509927722,4.5727620228807,0.246230779452766,2.39474770305624,2.14851692360348,"p2"
"CLDN3",1.49338611337785,1.62102900350087,2.647993822398,0.127642890123011,1.15460770902014,1.02696481889713,"p2"
"GJB2",2.02225479786723,2.64983335972127,4.47151269650085,0.627578561854045,2.44925789863363,1.82167933677959,"p2"
"TMEM63C",1.82619594112614,2.21377122155827,4.1558795546953,0.387575280432128,2.32968361356916,1.94210833313704,"p2"
"DRGX",2.07631300340674,1.14760429759249,3.04920946434894,-0.928708705814248,0.972896460942199,1.90160516675645,"p2"
"GLB1L3",5.20385478564023,5.28264034360867,6.33452085022439,0.0787855579684488,1.13066606458416,1.05188050661571,"p2"
"MOGAT2",1.37415805365994,2.04527719813079,3.39569555936156,0.67111914447086,2.02153750570161,1.35041836123076,"p2"
"HTR3A",1.81861110882133,2.20427212793551,5.22818134821698,0.385661019114176,3.40957023939566,3.02390922028147,"p2"
"C15orf48",1.06513345775142,0.850025827153467,1.93053034417071,-0.215107630597953,0.865396886419293,1.08050451701725,"p2"
"SCG5",1.09550659032302,0.337030621324345,1.47128562716839,-0.758475968998674,0.375779036845371,1.13425500584404,"p2"
"LY6D",2.4303335223317,2.9136833863033,4.53567180157565,0.4833498639716,2.10533827924395,1.62198841527235,"p2"
"MTNR1A",2.85319782684291,2.74663166333036,4.26967351061259,-0.106566163512557,1.41647568376968,1.52304184728223,"p2"
"WFDC13",1.2789698298236,0.435107549316274,1.85323212621741,-0.843862280507327,0.574262296393809,1.41812457690113,"p2"
"COL22A1",1.28537030118347,1.44774620430884,3.86851518403922,0.16237590312538,2.58314488285575,2.42076897973037,"p2"
"ONECUT1",1.85000957367671,1.9684818090156,4.39249879119206,0.118472235338881,2.54248921751535,2.42401698217646,"p2"
"FADS6",3.44651941650768,3.2438730362182,5.27318049756977,-0.202646380289483,1.82666108106209,2.02930746135157,"p2"
"CES3",1.33560602236687,1.47039249410552,2.82198923895054,0.134786471738663,1.48638321658367,1.35159674484501,"p2"
"MYEOV",2.7959722541326,2.18066106401472,3.69828458313943,-0.615311190117882,0.902312329006837,1.51762351912472,"p2"
"UGT8",1.52135060843608,1.48177034267673,2.65124813730049,-0.0395802657593492,1.12989752886441,1.16947779462377,"p2"
"DPP10",2.29787570899554,1.74382203891348,3.10789456598675,-0.554053670082063,0.810018856991211,1.36407252707327,"p2"
"AURKB",1.06486481820997,0.388867028700983,1.69444958583688,-0.675997789508983,0.62958476762691,1.30558255713589,"p2"
"ARL14",2.13016163758174,2.39640184624061,4.18857322302486,0.26624020865887,2.05841158544312,1.79217137678425,"p2"
"WFDC10B",1.0218114323656,0.52052344068161,1.74983880138593,-0.501287991683997,0.728027369020317,1.22931536070432,"p2"
"PYCR1",1.53218712711273,1.54125578694916,2.57327116866711,0.00906865983642799,1.04108404155438,1.03201538171795,"p2"
"PCP4",2.30843975493916,1.48386692164516,3.31882725751415,-0.824572833294009,1.01038750257499,1.834960335869,"p2"
"EPHA10",2.56517428287472,2.92609971547952,4.04485727864551,0.360925432604796,1.47968299577078,1.11875756316598,"p2"
"NPBWR1",2.11262567299138,1.14728880499928,3.25866861824247,-0.965336867992097,1.14604294525109,2.11137981324319,"p2"
"SLC35F3",1.62390608860409,1.08227941678508,2.50330010259259,-0.541626671819018,0.87939401398849,1.42102068580751,"p2"
"SIX6",1.14844527403188,1.022914391948,2.1688267740299,-0.125530882083877,1.02038149999802,1.1459123820819,"p2"
"DDX53",2.2153825510902,1.69178814538708,2.76528348667591,-0.523594405703124,0.54990093558571,1.07349534128883,"p2"
"HIST1H1T",1.40152077660877,0.593596631801252,2.57853271297065,-0.807924144807516,1.17701193636189,1.9849360811694,"p2"
"DNAJB13",1.12666978670767,1.00693761308746,2.07538710867309,-0.119732173620215,0.948717321965417,1.06844949558563,"p2"
