Gene_Name	J2C	J2N	J3C	J3N	J5C	J5N	J7C	J7N	J8C	J8N	J9C	J9N	J11S	J11N	J13M	J13N	J14M	J14N	J15M	J15N	J16M	J16N	J17H	J17N	J18M	J18N	J19H	J19S	J19N	J20S	J20N	J21H	J21M	J21N	J22M	J22N	J23M	J23N	J24H	J24N	J25S	J25N	J26M	J26N	J27H1	J27H2	J27S	J27M	J27N	J30H	J30N	J31S	J31N	J32H	J32M	J32N	J33M	J33N	J34M	J34N	J35M	J35N	J36S	J36N	J38H	J38S	J38N	J39M	J39N	J40S	J40M	J40N	J41M	J41N	J42S	J42N	J43S	J43M	J43N	J44M	J44N	J45M	J45N	J46M	J46N
SPO11	4.466083261	4.517058178	4.517058178	4.495489597	4.535545706	4.454759504	4.531500288	4.491314848	4.547999845	4.488563209	4.786496794	4.549727837	4.544003972	4.541174073	4.5974354	4.562471405	4.517058178	4.536200952	4.571958457	4.541174073	4.519729846	4.527477006	4.460828358	4.553195913	4.537514251	4.551120464	4.523386462	4.493119669	4.531500288	4.522396576	4.537514251	4.493119669	4.497855638	4.523386462	4.5293599	4.535545706	4.533637504	4.497855638	4.4813074	4.524375669	6.130847542	4.85723458	4.534890162	4.514697149	4.605553595	4.524983788	4.536200952	4.533637504	4.522396576	4.484414377	4.50347368	4.449376644	4.4813074	4.488563209	4.522396576	4.517058178	4.534263969	4.464147013	4.493119669	4.478193717	4.517058178	4.428699145	4.446736733	4.488563209	4.472151196	4.487618034	6.17993041	4.533637504	6.276002513	4.497855638	4.50347368	5.851674689	4.534890162	6.143067318	4.524375669	4.472151196	4.544003972	4.543517978	4.485035738	4.489507766	4.510702012	4.524375669	4.519729846	4.547401353	4.497855638
SPP1	6.019329937	5.449793237	10.78864668	7.276825637	10.07014235	12.69602912	13.35634133	9.139834224	10.14624484	6.476038302	7.211941585	4.549727837	5.3383947	5.43664413	8.360677545	4.562471405	11.66685463	7.69312018	12.33119001	7.345743161	7.592817844	6.345432705	7.830791338	5.82444359	9.983811359	7.389621097	5.863920756	9.068911002	5.882427619	9.919683072	6.118612364	7.843432445	9.803220693	8.533297746	11.41631725	6.21314126	9.554658509	6.931939083	6.37830105	5.0862879	7.097100324	4.85723458	8.759639749	5.390492454	8.199673513	9.181731444	9.247572672	8.187323203	8.445311496	9.093741847	7.107438791	7.059689528	7.871410617	7.486917363	9.1113602	6.890329428	9.68582838	7.211941585	9.30246322	8.617987758	9.521297919	6.161942852	7.813904082	6.46057486	5.418868592	7.401505322	7.405203778	7.69312018	7.583809441	8.918716675	10.83967059	7.571979218	11.4817422	7.69312018	6.812658658	5.7565182	9.085141885	7.903541534	6.943022682	10.44916744	6.56591627	11.13506115	6.104651167	9.750453975	6.354446703
SSX1	4.466083261	4.517058178	4.517058178	4.495489597	4.535545706	4.640582369	4.531500288	4.491314848	4.730310004	4.488563209	5.744148278	4.549727837	4.544003972	4.541174073	4.5974354	4.562471405	4.517058178	4.536200952	4.571958457	4.541174073	4.519729846	4.527477006	4.692955847	4.553195913	4.537514251	4.551120464	4.523386462	4.493119669	4.531500288	4.522396576	4.537514251	4.76513689	4.497855638	4.523386462	4.5293599	4.535545706	4.533637504	4.497855638	4.4813074	4.524375669	4.519729846	4.85723458	4.534890162	4.514697149	4.605553595	4.524983788	4.536200952	4.533637504	4.522396576	4.484414377	4.50347368	4.449376644	4.4813074	4.488563209	4.522396576	4.517058178	4.534263969	4.464147013	4.493119669	4.478193717	4.517058178	4.428699145	4.446736733	4.488563209	4.472151196	4.487618034	8.025754894	4.533637504	8.03937735	4.497855638	4.50347368	5.525826523	4.534890162	7.502434512	4.524375669	4.472151196	4.544003972	4.543517978	4.485035738	4.489507766	4.510702012	4.524375669	4.519729846	4.547401353	4.497855638
SSX4	4.466083261	4.517058178	4.517058178	4.495489597	4.535545706	4.454759504	4.531500288	4.491314848	4.321928095	4.488563209	4.786496794	4.549727837	4.544003972	4.541174073	4.5974354	4.562471405	4.517058178	4.536200952	4.571958457	4.541174073	4.519729846	4.527477006	4.460828358	4.553195913	4.537514251	4.551120464	4.523386462	4.493119669	4.531500288	4.522396576	4.537514251	4.493119669	4.497855638	4.523386462	4.5293599	4.535545706	4.533637504	4.497855638	4.4813074	4.524375669	4.519729846	4.85723458	4.534890162	4.514697149	4.605553595	4.524983788	4.536200952	4.533637504	4.522396576	4.484414377	4.50347368	4.449376644	4.4813074	4.488563209	4.522396576	4.517058178	4.534263969	4.464147013	4.493119669	4.478193717	4.517058178	4.428699145	4.446736733	4.488563209	4.472151196	4.487618034	7.079783172	4.533637504	7.571979218	4.497855638	4.50347368	4.641800603	4.534890162	7.170669057	4.524375669	4.472151196	4.544003972	4.543517978	4.485035738	4.489507766	4.510702012	4.524375669	4.519729846	4.547401353	4.497855638
ST6GAL1	10.32475731	9.756499535	9.38767413	9.850689345	9.322876833	9.994684774	9.430975173	9.693687733	9.521297919	9.17361706	8.980170186	9.396489725	9.27466241	9.451640176	9.462936876	10.03816306	9.818293522	9.543856948	9.850689345	9.314453769	9.447458172	9.44326401	10.02691793	9.284413771	10.18163444	10.08920407	9.942819747	9.563467776	9.962752988	9.68582838	9.63846048	9.577230201	9.739872407	9.373855064	8.891067602	9.25720654	9.427638346	9.559069867	9.831054216	9.383773453	11.08371612	9.789572264	9.31821918	9.169170568	10.21550021	9.994684774	10.19393759	9.58780151	9.735347693	9.572125659	9.206871915	8.759639749	9.226922046	9.222453663	9.215351561	9.132131244	11.10756411	9.715185335	9.073696248	8.963659899	9.582316745	9.52579041	10.53773731	9.952818021	9.703742936	9.860034419	9.52579041	9.630136221	9.724975432	10.18163444	10.46397411	9.677827217	9.29326444	9.919683072	9.893538547	9.458822316	9.96712511	9.467039733	9.206871915	9.681833345	9.156426233	9.543856948	9.924522692	8.959591123	8.86273771
STAT1	11.4817422	11.15824653	11.06051886	10.21550021	10.57214269	10.40958338	11.95849795	10.85567803	11.74055955	11.29892876	9.43879111	10.80707235	11.15824653	10.71921339	10.46397411	10.66080569	9.870311322	10.32475731	10.40958338	10.93111589	10.67635055	11.10756411	9.983811359	10.40958338	11.41631725	10.95092217	10.48332869	10.27902378	10.73634998	10.12474369	10.70226814	10.53051944	10.44916744	10.76985063	11.33131359	11.06051886	12.37927008	11.62113595	10.78864668	11.33131359	11.70548644	10.81395264	10.15773129	10.3014785	9.983811359	10.12474369	9.942819747	9.784591031	10.36198697	10.82080028	10.76985063	9.655086641	9.64656321	9.671803669	9.549267838	10.05785171	10.95092217	11.01187109	9.64656321	10.20412525	10.51503263	12.42093114	10.07014235	10.64576596	10.70226814	10.66080569	10.78864668	10.04757302	10.57214269	10.89505552	11.77043928	11.5106415	9.983811359	10.39973288	9.611758828	10.53051944	10.70226814	11.23758664	10.29003668	9.983811359	10.89505552	11.95849795	11.41631725	10.44172074	10.19393759
STAT2	11.10756411	10.85567803	11.14670042	10.47702929	10.40466654	10.46397411	10.99378638	10.68904888	11.4817422	10.91065924	9.971484022	10.42779078	10.42131724	10.6307903	10.69567365	10.48960071	11.06051886	10.51503263	10.55154331	10.60319382	10.73634998	11.01187109	10.54491925	10.47702929	11.06051886	10.70226814	10.6307903	10.89505552	10.54491925	10.67635055	10.2271999	10.48960071	10.82080028	10.42131724	10.76985063	10.57214269	11.80679399	10.82080028	10.83967059	10.78864668	11.01187109	10.55813709	10.48960071	10.36198697	10.68904888	10.57214269	10.78864668	10.68904888	10.54491925	10.61648977	10.73634998	9.855369448	9.994684774	9.898755945	10.48960071	9.822911255	11.08371612	10.68904888	10.38823593	10.32475731	10.43423541	10.83967059	10.47702929	10.40466654	10.57214269	11.41631725	10.57214269	10.95092217	10.75312709	10.76985063	10.85567803	10.75312709	11.06051886	10.66080569	10.29003668	10.40958338	11.23758664	11.29892876	10.81395264	10.76985063	10.68904888	11.21013433	10.87753512	10.6307903	10.34929821
STAT3	12.51524637	12.42093114	12.51524637	12.69602912	12.95190579	12.17896434	12.60704082	12.42093114	12.95190579	12.33119001	12.65249655	12.65249655	12.55936964	12.55936964	12.13928799	12.55936964	12.69602912	12.46779551	12.13928799	12.33119001	12.13928799	12.10524298	12.8378209	12.55936964	12.37927008	12.24973124	12.55936964	12.73611831	12.37927008	12.46779551	12.46779551	12.37927008	12.29093739	12.33119001	12.65249655	12.51524637	12.46779551	12.46779551	12.42093114	12.42093114	12.51524637	12.65249655	13.07588282	12.37927008	12.65249655	12.46779551	12.60704082	12.51524637	12.51524637	12.46779551	12.42093114	12.78317582	12.69602912	12.60704082	12.65249655	12.73611831	12.17896434	12.51524637	12.60704082	12.24973124	12.69602912	12.2136593	12.89921626	12.37927008	12.69602912	12.78317582	12.65249655	12.69602912	12.55936964	12.33119001	12.33119001	12.24973124	12.69602912	12.51524637	12.73611831	12.42093114	12.73611831	12.78317582	12.33119001	12.24973124	12.33119001	12.42093114	12.33119001	12.33119001	12.60704082
STAT4	7.588121197	8.034780953	7.746921344	8.076461877	7.575736869	8.255831156	6.866451016	8.177901186	6.931939083	7.675737815	5.744148278	7.847375821	8.541488013	8.47502286	7.266719624	7.428187665	7.250628906	7.626988352	7.69312018	7.762242022	7.524099506	7.894201715	8.268645032	8.207822566	7.817879032	7.441889418	7.073759039	7.065457168	7.049417491	7.34103374	7.700804639	7.34103374	6.885217719	7.612633776	7.879431183	7.990212717	7.830791338	7.775563644	7.771898937	8.05815283	7.389621097	7.710931039	7.804244748	7.546276673	7.35566362	7.498360107	7.921330556	7.313293367	7.733331338	8.193293605	7.809082499	7.839478261	7.684377945	7.644309537	7.575736869	8.062017861	7.75096374	7.606950654	7.276825637	7.360871116	7.276825637	8.021326372	6.958390451	7.588121197	7.537024216	7.223833936	7.276825637	7.179576213	6.46057486	7.419248935	7.669744741	7.912854772	7.69312018	7.533193439	8.03937735	7.75096374	7.24046994	6.992425188	7.606950654	7.486917363	7.546276673	7.804244748	8.014690702	7.583809441	7.771898937
STAT5B	8.83052992	9.415289063	8.537398691	9.29326444	8.707632344	9.143990359	8.666740533	9.288845892	7.217900014	8.74216826	5.744148278	9.383773453	9.354793262	9.265626208	8.738181148	9.471877066	7.843432445	9.093741847	9.152286352	9.073696248	8.501537718	9.31821918	9.036728665	9.534222043	8.838957393	9.484706632	9.354793262	8.872603797	9.499301595	8.821665804	9.190084218	9.169170568	8.987770542	9.31821918	8.778072044	9.181731444	8.944365558	9.064109831	9.160574227	9.215351561	8.806416129	9.451640176	8.83052992	9.198731798	9.169170568	9.073696248	8.81405749	9.080561546	9.265626208	9.143990359	9.036728665	8.935057329	8.955510841	9.045300398	8.882216888	9.143990359	8.759639749	9.476698234	8.734182987	8.987770542	8.622048768	9.265626208	9.080561546	9.563467776	9.073696248	9.027959297	9.30246322	8.886649032	9.35019676	9.049276802	8.626859974	9.368853556	9.02319445	9.4343043	8.703205286	9.080561546	8.838957393	8.715128121	9.008064734	8.59766374	9.181731444	8.778072044	9.373855064	8.169592795	9.102432868
STAT6	10.99378638	11.21013433	11.44939273	10.87753512	10.96954473	10.71921339	10.46397411	10.82080028	12.40025099	10.80707235	12.89921626	11.08371612	11.13506115	11.29892876	10.93111589	10.95092217	11.85161	10.73634998	11.5106415	11.13506115	11.01187109	11.13506115	10.99378638	11.21013433	10.95092217	10.99378638	11.10756411	11.41631725	10.99378638	11.0373886	10.68904888	10.96954473	11.13506115	10.80707235	10.64576596	10.78864668	11.5106415	11.21013433	11.44939273	11.29892876	10.67635055	11.44939273	11.23758664	11.0373886	11.4817422	11.23758664	11.39092979	11.23758664	11.36252449	10.93111589	11.26817813	10.85567803	10.82080028	10.43423541	10.78864668	10.73634998	11.5106415	11.18430369	10.87753512	10.91065924	11.29892876	11.06051886	10.96954473	10.85567803	11.10756411	11.55291098	11.23758664	11.40367936	11.39092979	10.85567803	11.21013433	11.08371612	11.23758664	11.29892876	11.23758664	11.10756411	11.62113595	11.58855648	11.23758664	11.4817422	11.21013433	10.89505552	11.18430369	11.36252449	11.36252449
SYCP1	4.466083261	4.517058178	4.517058178	4.495489597	4.535545706	4.454759504	4.531500288	4.491314848	6.385154691	4.488563209	8.080224926	4.549727837	4.544003972	4.541174073	4.5974354	4.562471405	4.517058178	4.536200952	4.571958457	4.541174073	4.519729846	4.527477006	4.460828358	4.553195913	4.537514251	4.551120464	4.523386462	4.493119669	4.531500288	4.522396576	4.537514251	4.493119669	4.497855638	4.523386462	4.5293599	4.535545706	4.533637504	4.497855638	4.4813074	4.524375669	5.029568573	4.85723458	4.534890162	4.514697149	4.605553595	4.524983788	4.536200952	4.533637504	4.522396576	4.484414377	4.50347368	4.449376644	4.4813074	4.488563209	4.522396576	4.517058178	4.534263969	4.464147013	4.775718441	4.478193717	4.517058178	4.428699145	4.446736733	4.488563209	4.472151196	4.487618034	6.403949364	4.533637504	6.21314126	4.497855638	4.50347368	6.149299534	4.534890162	5.317024914	4.524375669	4.472151196	4.544003972	4.543517978	4.485035738	4.489507766	4.510702012	4.524375669	4.519729846	4.547401353	4.497855638
SYK	9.194414487	8.471080016	8.886649032	8.572291488	9.02319445	9.698724094	9.327519497	8.429735506	9.198731798	9.61644776	6.606037651	8.510549907	8.514459519	8.47502286	8.86273771	8.755810161	9.467039733	8.84286737	8.806416129	8.487983072	8.783935216	8.518358564	8.806416129	8.275241565	9.391564289	8.914907939	8.510549907	8.906960188	8.338999487	9.049276802	8.518358564	8.987770542	9.406338652	8.976882187	9.261422516	8.462955493	8.738181148	8.906960188	9.332459664	8.778072044	9.411262043	8.533297746	8.86273771	8.838957393	9.169170568	9.29326444	9.132131244	9.447458172	9.064109831	9.107085961	8.949948962	8.279190749	8.715128121	8.83052992	8.973586677	8.551432246	9.008064734	8.514459519	9.1113602	9.401398402	8.872603797	9.018413815	9.660430614	8.510549907	8.872603797	9.345585566	7.908384757	9.665754866	7.710931039	9.803220693	9.1113602	8.759639749	9.073696248	8.283129153	9.156426233	8.666740533	9.48070799	9.190084218	8.734182987	8.980170186	8.872603797	9.053242277	9.085141885	8.478954957	8.214917517
SYT17	6.403949364	6.831281604	6.019329937	5.972252274	6.197165197	5.0862879	5.791001598	6.239725809	4.730310004	5.738598972	6.606037651	6.403949364	6.155504943	5.908318272	7.345743161	7.179576213	7.602232692	6.322681449	6.75190903	6.590271585	6.427207072	6.191449381	5.396561971	6.638685866	6.590271585	6.767072252	6.372673351	6.052578401	6.746607091	6.239725809	6.555487515	6.271269588	6.064532352	6.29788576	6.007175475	6.118612364	6.293160687	6.276002513	6.266521085	6.481351613	5.84560803	4.85723458	7.107438791	6.444400656	6.517677823	6.16835216	7.319624815	6.486694264	6.21314126	5.565861884	6.155504943	5.456008185	5.803430021	5.456008185	5.7565182	5.908318272	7.423725223	6.862415966	6.741285595	6.098449486	6.611857388	6.226455775	6.730169266	6.611857388	6.118612364	5.258009599	5.634036566	6.600194342	5.59269195	6.571770699	6.600194342	5.237426232	7.154235249	5.967182334	6.143067318	5.733028238	7.903541534	5.613393082	6.403949364	5.82444359	6.071357649	6.219813877	6.37830105	7.405203778	6.155504943
TAB1	8.671561285	8.93100743	8.275241565	8.113008169	8.659161318	7.839478261	8.03937735	8.495465803	8.364948606	8.324131245	7.211941585	8.331964596	8.132807545	8.155002502	8.872603797	8.453987834	8.58073324	8.458478631	8.558785122	8.533297746	8.617987758	8.59766374	7.606950654	8.292270682	8.622048768	8.747077645	8.79791083	8.300212539	8.684336196	8.510549907	8.072547679	8.196487086	8.258741838	8.261646661	8.437619323	8.132807545	8.613915284	8.315843942	8.759639749	8.691856907	8.255831156	8.080224926	8.030169864	8.546468697	8.802169747	8.47502286	9.080561546	8.441470536	8.421198248	8.113008169	8.252054326	6.992425188	7.985982175	7.867365531	8.151079376	7.575736869	8.331964596	8.617987758	8.279190749	8.054277416	7.974987429	8.001366639	8.558785122	8.108798234	8.05815283	8.684336196	8.147145554	9.107085961	8.58073324	8.315843942	8.392749798	8.062017861	8.973586677	8.449656187	7.886560671	8.046912862	8.331964596	8.987770542	8.292270682	8.891067602	8.136289301	8.132807545	8.498504954	8.404042152	8.124620468
