Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
X5081LC	0.0554366621421608	0	0.0675103398478727	0.0492512819720024	0	0.279478415630286	0	0.00372503285406842	0.00514573704338955	0	0.011769733038299	0.0409729464456078	0.0420092366773019	0	0.00860988187500156	0.148796764832168	0.00581378971789511	0.00774502767858872	0.308261471766792	0	0	0	0.001	0.362088114816321	0.93601483008255	1.03452632152143
CHG019772	0.0569959723432653	0	0.0954981253739557	0.142221139756585	0	0.266564445706115	0	0.0138239339464198	0.00511621325980977	0	0.0450132872292776	0	0.0116982348723883	0.179476473537248	0.00690982931673079	0.798817701695228	0	0	0.107537785073327	0	0	0	0	0.46133192175986	0.88710480039842	1.72967314211035
CHG020311	0.042941222708786	0	0	0.100278542749127	0	0.129945416520055	0	0.0200187379950638	0.0206231956188769	0	0.065274248580614	0	0.0266123264397592	0.240447705614796	0	1.05379945492516	0	0.00214850558959815	0.118431432321983	0	0	0.031757414511066	0.001	0.391586463797654	0.934374670794712	1.85227820357488
CHG019984	0.198248867622518	0.425245050842382	0.24405234907437	0.285039603406597	0	0.899131925397645	0.00802942022936731	0	0	0	0.0318250114110696	0.00998490253849417	0.0505137716267898	0.0767243090080435	0.023214386872048	0.299153630427658	0	0	0.0990130651569687	0	0	0	0	0.589116998506133	0.819990420737499	2.65017629361395
CHG020779	0.00123216549902131	0.0153242539035095	0.132345781124969	0.0538994320630574	0	0.33620743227806	0	0	0	0	0.0392799296535384	0.00629793132509064	0.242654190284838	0	0	0.158747813560929	0.0878712588069935	0.0225615319415613	0.174593975816107	0	0	0	0.018	0.223830053858164	0.988675540794146	1.27101569625767
CHG021119	0	0.0220777757714056	0.0837457311312195	0.0860775220549742	0	0.390094043979513	0	0.00162932491696841	0	0	0.0457151066776257	0.0308009720872457	0.0738684904684014	0.133094056613241	0.0718166216799573	0.279557659888587	0.0305616201673355	0.0349577258505883	0.0156595940804265	0.160332939551958	0	0.0191863871839598	0.001	0.334484957647024	0.945321536799477	1.47917557210341
CHG020789	0.00876969699069402	0.139826881835306	0.0344586802751358	0.116168391717185	0	0.523819644558101	0	0	0	0	0	0.0834978201635586	0.0811401987405553	0	0	0.184997612835057	0.119238014490481	0.0262599154561368	0.242518515740926	0	0	0	0.001	0.359503444931274	0.935036256918047	1.56069537280314
CHG021127	0.0305336012975618	0.0120178446141704	0.0221369573061851	0.0858936217974071	0	0.573893423748426	0	0.00484603383564804	0	0	0.0250060640454492	0	0.101251280738301	0	0	0.226517453658524	0.138006189455079	0.0549982001707436	0.0033858484642914	0.179092744927459	0	0	0.001	0.394388110937003	0.919285071850103	1.45757926405925
CHG021103	0.0481930972404107	0.0696860317377996	0.0569185278870497	0.128097396338136	0	0.348476641175683	0	0.00921966552702195	0.0449070586465329	0	0	0.168869163210896	0.0456455380011187	0	0.0416506186340756	0.234924810120341	0.0184794017721697	0.0208703463496256	0.0677386844501182	0	0	0	0.01	0.25925633841301	0.983725660829387	1.30367698109098
CHG021803	0.0202979944018634	0	0.00354574620575564	0.100261608110318	0	0.215851273592529	0	0.0537628094107477	0	0	0.00120802628175066	0.0951378645966922	0.123210013305166	0.18040230067062	0	0.334559599433741	0	0.0828217536633801	0.0687890847110888	0	0	0	0.018	0.223636957863205	1.00026268601961	1.27984807438365
CHG021756	0.0258841253117231	0	0.173729972847716	0.0650223604946794	0	0.33746493981521	0	0.0155437863344449	0	0	0.0372894965541091	0	0.093818485096687	0.12619372217052	0.0275365998632766	0.390765877803282	0	0.0223781008853852	0.011148742033797	0	0	0	0	0.450286450954716	0.893128601766808	1.32677620921083
CHG021796	0.0153108080658188	0	0.114800906457153	0.14653529231965	0	0.307640968226334	0	0.0550390252963803	0	0	0.04369868145128	0.00926250497077348	0.0424896699222795	0	0.0381551974071989	0.302005401424815	0	0.0166516127195996	0.124500978201274	0	0	0	0.001	0.335237155932515	0.944672127467573	1.21609104646256
CHG020791	0.0462389601798109	0.0504781080290782	0.0459352760519639	0.152663830727966	0	0.498616377434421	0	0.0430235880454177	0	0	0.0987701179717017	0.0416379467857368	0.128372812648658	0.0261979942287398	0	0.188951599056428	0.0470506438675546	0.0794243752618871	0.0682801230948803	0.083228333877691	0	0	0.005	0.293069527718502	0.965779499949436	1.59887008726194
CHG020785	0	0.0713307295623473	0.0593103799087124	0.0721524490374003	0	0.37573805932841	0	0	0	0	0.0718450637410799	0	0.0608781831110461	0.0116636905466262	0	0.297764523236377	0.0233761038202096	0.0160500040133384	0.147277448051968	0	0	0	0.001	0.338605283847596	0.943490301570728	1.20738663435752
CHG021107	0.0497028284481734	0.15380563299246	0.0261580399545546	0.148122680035241	0	0.483134329236224	0	0.072250956924674	0.0197203919757393	0	0.0131124844361988	0.0591509859698768	0.107639194221072	0.0436161438919878	0	0.388649882174445	0.00163410176087432	0.0566020948302227	0.158373358694381	0	0	0.000468827829865045	0.001	0.387280503982655	0.921955844513823	1.78214193337599
CHG020783	0.0638095367105947	0	0.0157096152810833	0.0596375331150561	0	0.423457829529668	0	0.0401726923059472	0	0	0.0293304095595246	0.0399132547983792	0.0928431498984198	0	0	0.140751523343016	0	0.0301404832365565	0.263656763786888	0	0	0	0.017	0.231488192551421	0.997605482810437	1.19942279156513
X4894LC	0.0442342675790525	0.00131971237298372	0.0241144909110126	0.127450817288277	0	0.425117582193422	0	0.0359209629131551	0.0118940730439411	0	0.00381824726475761	0.0752780128731663	0.0711287516307305	0	0.0176481271913354	0.263906742037344	0	0.0452584354984445	0.298678049797229	0	0	0	0.001	0.392617399943743	0.920373477867457	1.44576827259485
X4941LC	0	0	0.10630955534067	0.138841491830678	0	0.371112272272182	0	0.00766677165802904	0	0	0.0911738906561437	0.027893691873735	0.0589230644521315	0	0.0157751074801981	0.293890968672245	0.000327467079066928	0.0711021430055062	0.188049641541075	0	0	0	0.001	0.396292279592292	0.917715322431785	1.37106606586166
X4948LC	0	0.104917299320494	0.233263214879415	0.173015835088333	0	0.342413619464652	0	0.0911468315272331	0	0	0.0356589692680202	0.0270913739066651	0.0713090797068488	0.0704578882957082	0.00301961426856701	0.339289199501278	0.0212093219236922	0.0218379738854291	0.131389061012518	0.0191908215785643	0	0.00918253424235599	0.035	0.192827711280472	0.999373025171676	1.69439263786977
X5091LC	0	0.093314082877845	0.215487711475871	0.0880176262553123	0	0.269966879945282	0	0.00375190418124668	0	0	0.0275156090061939	0.0386588204813728	0.039400744493117	0.0988044833094634	0	0.309261322321181	0	0.0467929732481103	0.251081288638856	0	0	0	0.001	0.38629446765807	0.92236277975255	1.48205344623385
CHG020257	0	0.0140435639285219	0.0758048132362091	0.100208949238883	0	0.229298321685835	0	0.0352682417765579	0.0912941050048549	0	0	0.0905738346134415	0.0436664509008112	0.166821454717761	0	0.28884578913448	0.0405805542000576	0.0231115336664419	0.198648600315887	0	0	0.00638611070807385	0.018	0.22425583274862	0.992927971620196	1.40455232312782
CHG018347	0.0920229478799241	0	0.142819422506966	0.0942656855667959	0	0.294095072433338	0	0.0201489457810453	0.00986800513163063	0	0	0.0405929839832429	0.146024280838566	0	0	0.178798465855708	0	0.0261652203549573	0.32755286378275	0	0	0	0.005	0.294256825838486	0.96226524279169	1.37235389411492
X3246LC	0.0207768313071807	0.0111701795005154	0.0514245071381292	0.120967209559908	0	0.397483868723102	0	0	0.00291524608146315	0	0	0.0815786613821744	0.093576004930772	0.0316851717840726	0.0123166373957197	0.132241371378271	0.031356271656291	0.00975018594850152	0.261973448732366	0	0	0	0.014	0.242304720852465	0.99018565927863	1.25921559551847
CHG020333	0.0593879630508603	0	0.145663737732986	0.0578031230103742	0	0.51677424215744	0	0.0563057228778439	0.0308731920214936	0	0	0.0269266016988261	0.0704307971633523	0	0	0.135968811382402	0.054591094246081	0.0599834588014257	0.0555255425824817	0	0	0	0.001	0.338215643849186	0.945765602327315	1.27023428672557
CHG019736	0	0	0.0309840311102663	0.0334073633709251	0	0.247223113752878	0	0	0.00713861754084966	0	0	0.0672192742274881	0.0780979012798907	0	0	0.331296874164006	0.0797761139317586	0.0097290884135307	0.120986832358563	0	0	0	0.001	0.328296651461979	0.949240354990438	1.00585921015016
CHG020028	0.0496652625638688	0	0.366359426129604	0.0410257932615461	0	0.123119219498254	0	0.0343364431310821	0.00686968633788664	0	0.0159242947885002	0.0460226655000361	0.0122888945853275	0.06942071486751	0.0311571021858988	0.197700716803265	0	0.0507726778295322	0.014316422032079	0	0	0.0254074645905968	0.026	0.21555549568932	0.987727276555289	1.08438678410499
CHG020269	0.0369637070249991	0	0.152766391995037	0.00984458788120764	0	0.171325454359405	0	0.0297329228672218	0	0	0.00285141365121965	0.0283816744884027	0.0514081571853648	0.0117211883940991	0.00699827412230802	0.224666661804095	0.0216754377090405	0.0427656025727788	0.120136392996294	0	0	0	0.069	0.151670203464755	1.01065345827833	0.911237867051472
CHG021084	0	0.0899601628476645	0.2935677794921	0.0345547358829378	0	0.0942046697862796	0	0.00238330357554068	0.0479529587062567	0	0	0.0426884115113838	0.00940594003767752	0.107853210223108	0.00875670248773659	0.482636418503591	0	0	0.050220195830378	0	0	0	0.001	0.38537300754774	0.923716483482778	1.26418448888465
CHG020277	0	0.152810560471418	0.134927372060047	0.0692966456365599	0	0.197702910866612	0	0.0158102724491089	0	0	0	0.0489547170068061	0.0220612339755419	0.0684334092961191	0	0.52473507846316	0.00776056303600507	0.0319037837362018	0.21710188065397	0	0	0	0.001	0.419166063276474	0.907886059768462	1.49149842765155
CHG021080	0.0427056244493963	0	0.118489207886692	0.0231809512131457	0	0.193048715293084	0	0	0	0	0.0197429043717711	0.0112134751156562	6.32263035030412e-05	0.175683129115292	0.0452277647608833	0.227317872599215	0.000174068756862015	0	0	0.0503695269109807	0	0	0.004	0.306188319733738	0.961116917681532	0.907216466776482
CHG021068	0	0.0660950826931171	0.27511966570474	0.109540401662377	0	0.403842728284364	0	0.019816135271706	0.0203766977940014	0	0.0122717102352131	0.0738228841169017	0.0316156286350305	0.00726905707545643	0.0476999628991477	0.286531591195466	0.00605169927257519	0.0387314492530195	0.0505720724505761	0	0	0	0.001	0.420899081221879	0.907132870105443	1.44935676654369
CHG017878	0.0433119762083202	0.00483451473581705	0.0858051016717138	0.0885228523015773	0	0.239328248550436	0	0.0330105190314229	0.040859563510146	0	0	0.0884536117769608	0.106775912711315	0	0	0.213488855983768	0.17523735840214	0.0344738483198299	0.199952389917426	0	0	0	0.00600000000000001	0.278801702438822	0.965745775629168	1.35405475312087
CHG019117	0.0612079150125435	0.029755257128525	0.257030903774036	0.119805364741224	0	0.259033633843134	0	0.0228587010161368	0	0	0.0235139496717155	0.0539189423222046	0.046468138979417	0.0239437255654628	0.0431824695277939	0.225553645331153	0	0.0139881501505267	0.0270114846791882	0	0	0	0	0.458157812061262	0.89154962635372	1.20727228174306
CHG019716	0.0265710891380836	0	0.401611613164265	0.0663778035542409	0	0.072865944320847	0	0.0963540677585736	0	0	0.00151329184162641	0.0238624763821491	0.0273572457306452	0	0	0.122533601487152	0.0397597312458672	0.0215074098448379	0.180353326985624	0	0	0	0.013	0.248655548995565	0.976187425058747	1.08066760145391
