"Gene"	"AIS_vs_Normal"	"MIA_vs_Normal"	"LUAD_vs_Normal"	"MIA_vs_AIS"	"LUAD_vs_AIS"	"LUAD_vs_MIA"
"E2F2"	0.392055667183936	0.557997521311736	1.77281388487613	0.1659418541278	1.38075821769219	1.21481636356439
"TFAP2D"	6.93577171559721	2.24827105316316	8.09895340688534	-4.68750066243405	1.16318169128812	5.85068235372217
"CELSR3"	0.792910752915762	0.715222933713545	2.08147750717503	-0.0776878192022157	1.28856675425927	1.36625457346149
"MGST1"	1.44119035802167	1.11755362388969	1.34362459286351	-0.323636734131978	-0.097565765158165	0.226070968973814
"PGLYRP1"	-1.15206289303639	-1.46196607375126	-2.3471844327591	-0.309903180714863	-1.1951215397227	-0.885218359007842
"IYD"	2.04552727960986	1.9756746469272	2.59280798584972	-0.0698526326826624	0.547280706239865	0.617133338922527
"SEMA3G"	-1.9867149647701	-1.50575741148961	-2.64478684889854	0.480957553280486	-0.658071884128446	-1.13902943740893
"SLC6A13"	0.960306297288355	0.0731843466039723	-1.51762137026626	-0.887121950684392	-2.47792766755462	-1.59080571687022
"SLC6A7"	0.0987581499315102	0.224986828904845	1.24210438124611	0.126228678973345	1.1433462313146	1.01711755234126
"SYT7"	1.53280922753487	0.782899493123761	1.61140143110309	-0.74990973441111	0.0785922035682145	0.82850193797933
"ANLN"	0.385768643936134	0.722071710389109	2.13740603939504	0.336303066452974	1.7516373954589	1.41533432900593
"DCN"	-1.63329180005243	-1.21553981761079	-1.54544575621596	0.417751982441648	0.0878460438364632	-0.329905938605177
"ALOX5"	-0.497305185617631	-0.34450847907515	-1.0456140786444	0.152796706542484	-0.548308893026773	-0.701105599569256
"EHD3"	-1.01700472294269	-0.762164883392955	-0.613908125162853	0.254839839549744	0.403096597779839	0.148256758230103
"GPRC5A"	0.378451239936181	-0.142263516314715	-0.930490782311049	-0.520714756250893	-1.30894202224723	-0.788227265996332
"MTMR11"	-0.544635105934128	-0.254054329586858	0.45598793874832	0.290580776347274	1.00062304468245	0.710042268335174
"DPEP1"	0.802340767882934	1.12377853512706	1.61296663153465	0.321437767244129	0.810625863651713	0.489188096407586
"SLC38A5"	-0.935171003630522	-0.943982178283196	-1.10634046948679	-0.00881117465267498	-0.17116946585627	-0.162358291203595
"SLC11A1"	-0.85035327324357	-0.662930314465279	-1.75152216558927	0.18742295877829	-0.901168892345701	-1.08859185112399
"ATP1A2"	-1.0043395407501	-0.605639391387221	-1.52523198563252	0.398700149362879	-0.52089244488242	-0.919592594245297
"VSIG2"	0.20937038667851	-0.0316202466778914	-0.922886660608749	-0.240990633356406	-1.13225704728726	-0.891266413930857
